"id","commodity_id","wars","sanctions","trade_bans","shipping_disruptions","political_instability"
141,141,False,True,True,False,"Moderate"
142,142,False,False,False,False,"Moderate"
143,143,False,False,False,False,"Moderate"
144,144,True,False,False,False,"Moderate"
145,145,True,False,True,False,"Moderate"
146,146,False,False,False,False,"Moderate"
147,147,False,False,True,True,"Moderate"
148,148,False,False,False,True,"Moderate"
149,149,False,False,False,True,"Moderate"
150,150,False,False,False,False,"Moderate"
151,151,False,False,False,False,"Moderate"
152,152,False,False,False,False,"Moderate"
153,153,False,False,False,False,"Moderate"
154,154,False,True,False,False,"Moderate"
155,155,True,False,False,False,"Moderate"
156,156,False,False,False,False,"Moderate"
157,157,True,False,False,False,"Moderate"
158,158,True,False,False,True,"Moderate"
159,159,True,False,False,True,"Moderate"
160,160,False,False,False,False,"Moderate"
161,161,False,True,False,False,"Moderate"
162,162,False,False,False,False,"Moderate"
163,163,False,False,False,False,"Moderate"
164,164,False,True,False,False,"Moderate"
165,165,False,False,False,False,"Moderate"
166,166,True,False,False,True,"Moderate"
167,167,False,False,False,False,"Moderate"
168,168,False,True,False,True,"Moderate"
169,169,False,False,False,False,"Moderate"
170,170,False,False,False,False,"Moderate"
171,171,False,False,False,True,"Moderate"
172,172,True,False,True,False,"Moderate"
173,173,False,False,False,False,"Moderate"
174,174,False,False,False,True,"Moderate"
175,175,False,False,False,True,"Moderate"
176,176,False,False,False,True,"Moderate"
177,177,False,True,False,False,"Moderate"
178,178,False,False,False,False,"Moderate"
179,179,False,False,False,True,"Moderate"
180,180,False,False,False,False,"Moderate"
181,181,False,False,False,False,"Moderate"
182,182,False,False,False,False,"Moderate"
183,183,False,False,False,False,"Moderate"
184,184,False,False,False,False,"Moderate"
185,185,False,False,False,False,"Moderate"
186,186,True,False,True,True,"Moderate"
187,187,False,False,True,False,"Moderate"
188,188,True,True,True,True,"Moderate"
189,189,False,False,True,False,"Moderate"
190,190,False,False,False,False,"Moderate"
191,191,False,True,False,True,"Moderate"
192,192,False,False,False,False,"Moderate"
193,193,False,True,False,True,"Moderate"
194,194,False,False,False,False,"Moderate"
195,195,False,False,False,False,"Moderate"
196,196,False,True,False,False,"Moderate"
197,197,True,True,False,False,"Moderate"
198,198,False,True,False,False,"Moderate"
199,199,False,False,False,False,"Moderate"
200,200,False,False,False,False,"Moderate"
201,201,False,False,True,False,"Moderate"
202,202,False,True,False,True,"Moderate"
203,203,False,False,False,True,"Moderate"
204,204,False,False,False,False,"Moderate"
205,205,True,False,False,True,"Moderate"
206,206,False,False,False,True,"Moderate"
207,207,False,False,False,False,"Moderate"
208,208,False,False,False,True,"Moderate"
209,209,False,False,False,False,"Moderate"
210,210,False,False,True,True,"Moderate"
211,211,False,False,False,False,"Moderate"
212,212,False,False,False,False,"Moderate"
213,213,False,True,True,True,"Moderate"
214,214,False,False,False,False,"Moderate"
215,215,False,True,False,False,"Moderate"
216,216,False,False,False,False,"Moderate"
217,217,False,False,False,False,"Moderate"
218,218,False,False,True,False,"Moderate"
219,219,True,True,False,True,"Moderate"
220,220,False,False,True,False,"Moderate"
221,221,True,False,False,False,"Moderate"
222,222,False,True,False,True,"Moderate"
223,223,False,False,False,False,"Moderate"
224,224,False,True,False,False,"Moderate"
225,225,False,True,False,True,"Moderate"
226,226,False,False,False,False,"Moderate"
227,227,False,False,False,False,"Moderate"
228,228,False,True,False,True,"Moderate"
229,229,False,False,False,False,"Moderate"
230,230,False,True,True,False,"Moderate"
231,231,False,False,False,False,"Moderate"
232,232,False,False,True,False,"Moderate"
233,233,False,False,False,False,"Moderate"
234,234,False,True,False,False,"Moderate"
235,235,False,False,False,False,"Moderate"
236,236,False,True,False,True,"Moderate"
237,237,False,True,False,True,"Moderate"
238,238,False,False,False,True,"Moderate"
239,239,False,False,False,False,"Moderate"
240,240,True,False,False,False,"Moderate"
241,241,False,False,False,False,"Moderate"
242,242,False,True,False,False,"Moderate"
243,243,False,False,False,False,"Moderate"
244,244,False,True,False,False,"Moderate"
245,245,False,True,False,False,"Moderate"
246,246,False,False,False,False,"Moderate"
247,247,False,False,False,False,"Moderate"
248,248,False,True,False,False,"Moderate"
249,249,False,False,False,False,"Moderate"
