"id","commodity_id","event_name","event_date","event_type","price_impact","duration","recovery"
70,70,"Global Crisis","2026-03-09","Crash","47.5388983258645","6 Months","Recovered"
71,71,"Global Crisis","2023-07-15","Crash","3.62756099234836","6 Months","Recovered"
72,72,"Global Crisis","2025-10-08","Crash","33.1736395670849","6 Months","Recovered"
73,73,"Global Crisis","2024-08-04","Crash","14.0784841475418","6 Months","Recovered"
74,74,"Global Crisis","2025-03-02","Crash","14.2322256996623","6 Months","Recovered"
75,75,"Global Crisis","2024-09-12","Crash","5.78067522324501","6 Months","Recovered"
76,76,"Global Crisis","2024-02-03","Crash","10.9455507438529","6 Months","Recovered"
77,77,"Global Crisis","2023-07-26","Crash","15.7604741882094","6 Months","Recovered"
78,78,"Global Crisis","2025-12-14","Crash","7.30621841954722","6 Months","Recovered"
79,79,"Global Crisis","2023-10-19","Crash","21.4357912212919","6 Months","Recovered"
80,80,"Global Crisis","2025-08-07","Crash","24.3189095979198","6 Months","Recovered"
81,81,"Global Crisis","2025-12-02","Crash","8.45109918254535","6 Months","Recovered"
82,82,"Global Crisis","2023-08-09","Crash","46.9525082702442","6 Months","Recovered"
83,83,"Global Crisis","2025-09-07","Crash","11.9745635475647","6 Months","Recovered"
84,84,"Global Crisis","2025-05-22","Crash","32.0406273688142","6 Months","Recovered"
85,85,"Global Crisis","2023-12-16","Crash","13.9797949134562","6 Months","Recovered"
86,86,"Global Crisis","2025-03-29","Crash","8.96643695176859","6 Months","Recovered"
87,87,"Global Crisis","2024-01-26","Crash","0.599561619439914","6 Months","Recovered"
88,88,"Global Crisis","2024-05-12","Crash","29.616382265589","6 Months","Recovered"
89,89,"Global Crisis","2024-11-06","Crash","3.12318773480609","6 Months","Recovered"
90,90,"Global Crisis","2024-02-07","Crash","43.7017299791614","6 Months","Recovered"
91,91,"Global Crisis","2024-01-28","Crash","28.3087784989036","6 Months","Recovered"
92,92,"Global Crisis","2025-04-13","Crash","26.3425937156278","6 Months","Recovered"
93,93,"Global Crisis","2024-04-24","Crash","16.1839266144978","6 Months","Recovered"
94,94,"Global Crisis","2023-11-24","Crash","10.367660255912","6 Months","Recovered"
95,95,"Global Crisis","2023-12-25","Crash","41.0345739499402","6 Months","Recovered"
96,96,"Global Crisis","2025-12-10","Crash","7.94815309813133","6 Months","Recovered"
97,97,"Global Crisis","2024-08-09","Crash","33.4855855550214","6 Months","Recovered"
98,98,"Global Crisis","2025-10-22","Crash","5.62185304619803","6 Months","Recovered"
99,99,"Global Crisis","2024-10-22","Crash","44.2137100757973","6 Months","Recovered"
100,100,"Global Crisis","2024-06-26","Crash","17.6718315293642","6 Months","Recovered"
101,101,"Global Crisis","2024-07-08","Crash","16.1251992697914","6 Months","Recovered"
102,102,"Global Crisis","2024-06-24","Crash","44.9391354408677","6 Months","Recovered"
103,103,"Global Crisis","2024-11-06","Crash","42.9675192438031","6 Months","Recovered"
104,104,"Global Crisis","2024-04-22","Crash","4.81139844795397","6 Months","Recovered"
105,105,"Global Crisis","2023-08-21","Crash","38.2927768598854","6 Months","Recovered"
106,106,"Global Crisis","2025-09-24","Crash","22.1313379901372","6 Months","Recovered"
107,107,"Global Crisis","2025-02-02","Crash","27.7339403339747","6 Months","Recovered"
108,108,"Global Crisis","2023-12-12","Crash","39.2199920815556","6 Months","Recovered"
109,109,"Global Crisis","2024-07-03","Crash","47.4683811543118","6 Months","Recovered"
110,110,"Global Crisis","2023-07-05","Crash","26.2659104022317","6 Months","Recovered"
111,111,"Global Crisis","2024-03-03","Crash","14.4217877503313","6 Months","Recovered"
112,112,"Global Crisis","2025-02-28","Crash","49.73679195229","6 Months","Recovered"
113,113,"Global Crisis","2026-01-23","Crash","40.8672606321909","6 Months","Recovered"
114,114,"Global Crisis","2025-01-03","Crash","4.18858362728297","6 Months","Recovered"
115,115,"Global Crisis","2023-09-11","Crash","16.4768243070396","6 Months","Recovered"
116,116,"Global Crisis","2024-12-05","Crash","40.0293386296916","6 Months","Recovered"
117,117,"Global Crisis","2026-02-17","Crash","21.5352119142388","6 Months","Recovered"
118,118,"Global Crisis","2025-05-23","Crash","9.57794999411842","6 Months","Recovered"
119,119,"Global Crisis","2024-03-31","Crash","16.5069501176286","6 Months","Recovered"
120,120,"Global Crisis","2026-03-17","Crash","5.78302517137177","6 Months","Recovered"
121,121,"Global Crisis","2024-04-04","Crash","24.2637574820435","6 Months","Recovered"
122,122,"Global Crisis","2024-08-22","Crash","3.57956045104647","6 Months","Recovered"
123,123,"Global Crisis","2024-07-01","Crash","45.0072974323308","6 Months","Recovered"
124,124,"Global Crisis","2025-02-03","Crash","12.3144874903339","6 Months","Recovered"
125,125,"Global Crisis","2024-05-18","Crash","27.3325018571122","6 Months","Recovered"
126,126,"Global Crisis","2024-03-20","Crash","34.1633925519983","6 Months","Recovered"
127,127,"Global Crisis","2024-02-19","Crash","1.52606840533903","6 Months","Recovered"
128,128,"Global Crisis","2025-04-01","Crash","0.394662811524238","6 Months","Recovered"
129,129,"Global Crisis","2023-10-27","Crash","49.3037771651938","6 Months","Recovered"
130,130,"Global Crisis","2025-03-01","Crash","36.0575951472895","6 Months","Recovered"
131,131,"Global Crisis","2026-02-22","Crash","18.311759751772","6 Months","Recovered"
132,132,"Global Crisis","2024-03-13","Crash","25.2769769131598","6 Months","Recovered"
133,133,"Global Crisis","2023-07-24","Crash","49.8320930031578","6 Months","Recovered"
134,134,"Global Crisis","2024-01-01","Crash","28.7423141933912","6 Months","Recovered"
135,135,"Global Crisis","2025-07-07","Crash","24.5072319157546","6 Months","Recovered"
136,136,"Global Crisis","2025-12-31","Crash","4.16739023536994","6 Months","Recovered"
137,137,"Global Crisis","2024-05-04","Crash","46.8021367229615","6 Months","Recovered"
138,138,"Global Crisis","2026-01-19","Crash","37.2978633439298","6 Months","Recovered"
139,139,"Global Crisis","2025-01-10","Crash","27.9161786399949","6 Months","Recovered"
140,140,"Global Crisis","2024-12-01","Crash","10.0977505241737","6 Months","Recovered"
141,141,"Global Crisis","2023-08-07","Crash","26.0713611249162","6 Months","Recovered"
142,142,"Global Crisis","2024-06-18","Crash","31.412466026371","6 Months","Recovered"
143,143,"Global Crisis","2023-07-30","Crash","47.5414938758882","6 Months","Recovered"
144,144,"Global Crisis","2025-05-03","Crash","42.3481033628814","6 Months","Recovered"
145,145,"Global Crisis","2024-05-02","Crash","1.18623040030493","6 Months","Recovered"
146,146,"Global Crisis","2025-12-02","Crash","41.9907839000695","6 Months","Recovered"
147,147,"Global Crisis","2024-01-17","Crash","24.3255527678547","6 Months","Recovered"
148,148,"Global Crisis","2025-05-08","Crash","20.0447698854214","6 Months","Recovered"
149,149,"Global Crisis","2024-10-30","Crash","0.517222309090004","6 Months","Recovered"
150,150,"Global Crisis","2025-04-25","Crash","34.4415321175849","6 Months","Recovered"
151,151,"Global Crisis","2025-06-01","Crash","31.0810269070592","6 Months","Recovered"
152,152,"Global Crisis","2024-08-19","Crash","30.4985327075415","6 Months","Recovered"
153,153,"Global Crisis","2024-12-18","Crash","47.3914567256038","6 Months","Recovered"
154,154,"Global Crisis","2024-11-23","Crash","36.1503781655077","6 Months","Recovered"
155,155,"Global Crisis","2025-11-13","Crash","47.3394761818778","6 Months","Recovered"
156,156,"Global Crisis","2024-09-10","Crash","1.72752860773416","6 Months","Recovered"
157,157,"Global Crisis","2026-02-25","Crash","19.4045795462767","6 Months","Recovered"
158,158,"Global Crisis","2025-08-15","Crash","35.0119913950636","6 Months","Recovered"
159,159,"Global Crisis","2025-08-08","Crash","8.55903787403055","6 Months","Recovered"
160,160,"Global Crisis","2026-03-05","Crash","22.6960387713022","6 Months","Recovered"
161,161,"Global Crisis","2025-02-18","Crash","8.1194790085222","6 Months","Recovered"
162,162,"Global Crisis","2025-12-24","Crash","38.3216421511775","6 Months","Recovered"
163,163,"Global Crisis","2024-04-26","Crash","23.9887562115273","6 Months","Recovered"
164,164,"Global Crisis","2023-11-08","Crash","27.7059194504335","6 Months","Recovered"
165,165,"Global Crisis","2026-02-27","Crash","12.1093752742419","6 Months","Recovered"
166,166,"Global Crisis","2025-06-07","Crash","22.0534643822683","6 Months","Recovered"
167,167,"Global Crisis","2025-04-14","Crash","49.8567286206278","6 Months","Recovered"
168,168,"Global Crisis","2025-03-24","Crash","27.5126007870095","6 Months","Recovered"
169,169,"Global Crisis","2025-06-17","Crash","6.33331818475925","6 Months","Recovered"
170,170,"Global Crisis","2024-08-21","Crash","6.87641849474035","6 Months","Recovered"
171,171,"Global Crisis","2024-03-20","Crash","47.5066398865346","6 Months","Recovered"
172,172,"Global Crisis","2025-01-15","Crash","2.42174869560621","6 Months","Recovered"
173,173,"Global Crisis","2026-03-10","Crash","22.1971299327943","6 Months","Recovered"
174,174,"Global Crisis","2025-04-12","Crash","27.8926061899037","6 Months","Recovered"
175,175,"Global Crisis","2024-10-26","Crash","15.2731154315972","6 Months","Recovered"
176,176,"Global Crisis","2025-12-07","Crash","19.211174707461","6 Months","Recovered"
177,177,"Global Crisis","2024-01-19","Crash","44.1925079207775","6 Months","Recovered"
178,178,"Global Crisis","2025-01-16","Crash","43.5712649306209","6 Months","Recovered"
179,179,"Global Crisis","2024-12-10","Crash","0.105645484271444","6 Months","Recovered"
180,180,"Global Crisis","2025-07-02","Crash","21.774068019454","6 Months","Recovered"
181,181,"Global Crisis","2025-04-10","Crash","40.0942343196254","6 Months","Recovered"
182,182,"Global Crisis","2025-07-28","Crash","46.2646529361817","6 Months","Recovered"
183,183,"Global Crisis","2025-05-26","Crash","23.5218903526871","6 Months","Recovered"
184,184,"Global Crisis","2023-07-05","Crash","8.1516439286495","6 Months","Recovered"
185,185,"Global Crisis","2024-12-04","Crash","27.5221167866791","6 Months","Recovered"
186,186,"Global Crisis","2023-09-06","Crash","45.4454173746579","6 Months","Recovered"
187,187,"Global Crisis","2024-03-24","Crash","15.9125423684082","6 Months","Recovered"
188,188,"Global Crisis","2023-07-03","Crash","35.4073459375729","6 Months","Recovered"
189,189,"Global Crisis","2024-05-09","Crash","6.59912403548386","6 Months","Recovered"
190,190,"Global Crisis","2024-10-01","Crash","32.1342251976892","6 Months","Recovered"
191,191,"Global Crisis","2024-08-03","Crash","39.3190444318846","6 Months","Recovered"
192,192,"Global Crisis","2024-08-16","Crash","31.8804870678202","6 Months","Recovered"
193,193,"Global Crisis","2025-07-17","Crash","35.8295704226587","6 Months","Recovered"
194,194,"Global Crisis","2024-08-11","Crash","22.4320118586871","6 Months","Recovered"
195,195,"Global Crisis","2026-01-14","Crash","8.84649676350503","6 Months","Recovered"
196,196,"Global Crisis","2025-07-29","Crash","14.8380084919873","6 Months","Recovered"
197,197,"Global Crisis","2025-10-16","Crash","38.0080511971752","6 Months","Recovered"
198,198,"Global Crisis","2024-12-06","Crash","23.8639154231974","6 Months","Recovered"
199,199,"Global Crisis","2024-06-05","Crash","32.5914132690665","6 Months","Recovered"
200,200,"Global Crisis","2023-08-06","Crash","14.4925479426411","6 Months","Recovered"
201,201,"Global Crisis","2025-02-26","Crash","4.01989182751162","6 Months","Recovered"
202,202,"Global Crisis","2024-10-06","Crash","2.79687464210278","6 Months","Recovered"
203,203,"Global Crisis","2024-12-15","Crash","24.5507906869112","6 Months","Recovered"
204,204,"Global Crisis","2025-02-01","Crash","24.1412763915827","6 Months","Recovered"
205,205,"Global Crisis","2025-08-22","Crash","31.6704974445122","6 Months","Recovered"
206,206,"Global Crisis","2026-03-05","Crash","33.620420843334","6 Months","Recovered"
207,207,"Global Crisis","2024-01-10","Crash","25.8344320378073","6 Months","Recovered"
208,208,"Global Crisis","2023-09-08","Crash","33.2661495900219","6 Months","Recovered"
209,209,"Global Crisis","2023-07-09","Crash","47.4316186239848","6 Months","Recovered"
210,210,"Global Crisis","2025-12-11","Crash","26.864743116114","6 Months","Recovered"
211,211,"Global Crisis","2023-09-18","Crash","1.06774936434018","6 Months","Recovered"
212,212,"Global Crisis","2025-02-10","Crash","44.6301630268416","6 Months","Recovered"
213,213,"Global Crisis","2024-06-04","Crash","46.6701984400031","6 Months","Recovered"
214,214,"Global Crisis","2024-06-11","Crash","28.2995109234278","6 Months","Recovered"
215,215,"Global Crisis","2025-09-28","Crash","30.3425895079505","6 Months","Recovered"
216,216,"Global Crisis","2024-09-11","Crash","12.001162859031","6 Months","Recovered"
217,217,"Global Crisis","2025-07-20","Crash","2.89398600757622","6 Months","Recovered"
218,218,"Global Crisis","2026-03-09","Crash","25.4869974952178","6 Months","Recovered"
219,219,"Global Crisis","2025-06-26","Crash","31.6412679843017","6 Months","Recovered"
220,220,"Global Crisis","2023-07-28","Crash","5.61981893114919","6 Months","Recovered"
221,221,"Global Crisis","2024-10-18","Crash","20.6094434951076","6 Months","Recovered"
222,222,"Global Crisis","2025-08-03","Crash","7.24668019556147","6 Months","Recovered"
223,223,"Global Crisis","2024-04-24","Crash","42.0624149774128","6 Months","Recovered"
224,224,"Global Crisis","2023-12-04","Crash","49.9252419313924","6 Months","Recovered"
225,225,"Global Crisis","2023-11-03","Crash","13.3728534667046","6 Months","Recovered"
226,226,"Global Crisis","2025-04-08","Crash","21.828280286491","6 Months","Recovered"
227,227,"Global Crisis","2025-04-24","Crash","34.050373730823","6 Months","Recovered"
228,228,"Global Crisis","2025-09-23","Crash","1.01930571038676","6 Months","Recovered"
229,229,"Global Crisis","2025-07-24","Crash","42.6063526748086","6 Months","Recovered"
230,230,"Global Crisis","2023-08-20","Crash","27.9039623495253","6 Months","Recovered"
231,231,"Global Crisis","2025-09-09","Crash","20.6812630290037","6 Months","Recovered"
232,232,"Global Crisis","2025-05-23","Crash","16.472644422752","6 Months","Recovered"
233,233,"Global Crisis","2024-03-10","Crash","44.6922664770465","6 Months","Recovered"
234,234,"Global Crisis","2024-08-07","Crash","12.063028574198","6 Months","Recovered"
235,235,"Global Crisis","2025-08-19","Crash","11.6959886184647","6 Months","Recovered"
236,236,"Global Crisis","2026-01-01","Crash","25.3094619943997","6 Months","Recovered"
237,237,"Global Crisis","2023-07-12","Crash","19.7810754050472","6 Months","Recovered"
238,238,"Global Crisis","2024-10-23","Crash","23.9203348558854","6 Months","Recovered"
239,239,"Global Crisis","2026-01-21","Crash","32.5448686209352","6 Months","Recovered"
240,240,"Global Crisis","2025-03-10","Crash","49.4486197756656","6 Months","Recovered"
241,241,"Global Crisis","2024-08-28","Crash","32.3499488778141","6 Months","Recovered"
242,242,"Global Crisis","2024-10-07","Crash","23.3203581041036","6 Months","Recovered"
243,243,"Global Crisis","2024-08-24","Crash","29.855874640854","6 Months","Recovered"
244,244,"Global Crisis","2025-08-10","Crash","12.9005658918011","6 Months","Recovered"
245,245,"Global Crisis","2024-04-21","Crash","40.5420034525417","6 Months","Recovered"
246,246,"Global Crisis","2023-10-30","Crash","46.2747689602435","6 Months","Recovered"
247,247,"Global Crisis","2024-07-14","Crash","31.7075471552579","6 Months","Recovered"
248,248,"Global Crisis","2024-04-20","Crash","16.5776529046496","6 Months","Recovered"
249,249,"Global Crisis","2026-02-22","Crash","41.9690434587887","6 Months","Recovered"
