"id","commodity_id","crop_cycle","harvest_month","demand_season","festival_demand"
134,134,"Annual","December","Moderate","Low"
135,135,"Annual","December","Moderate","Low"
136,136,"Annual","December","Moderate","Low"
137,137,"Annual","December","Moderate","Low"
138,138,"Annual","December","Moderate","Low"
139,139,"Annual","December","Moderate","Low"
140,140,"Annual","December","Moderate","Low"
141,141,"Annual","December","Moderate","Low"
142,142,"Annual","December","Moderate","Low"
143,143,"Annual","December","Moderate","Low"
144,144,"Annual","December","Moderate","Low"
145,145,"Annual","December","Moderate","Low"
146,146,"Annual","December","Moderate","Low"
147,147,"Annual","December","Moderate","Low"
148,148,"Annual","December","Moderate","Low"
149,149,"Annual","December","Moderate","Low"
150,150,"Annual","December","Moderate","Low"
151,151,"Annual","December","Moderate","Low"
152,152,"Annual","December","Moderate","Low"
153,153,"Annual","December","Moderate","Low"
154,154,"Annual","December","Moderate","Low"
155,155,"Annual","December","Moderate","Low"
156,156,"Annual","December","Moderate","Low"
157,157,"Annual","December","Moderate","Low"
158,158,"Annual","December","Moderate","Low"
159,159,"Annual","December","Moderate","Low"
160,160,"Annual","December","Moderate","Low"
161,161,"Annual","December","Moderate","Low"
162,162,"Annual","December","Moderate","Low"
163,163,"Annual","December","Moderate","Low"
164,164,"Annual","December","Moderate","Low"
165,165,"Annual","December","Moderate","Low"
166,166,"Annual","December","Moderate","Low"
167,167,"Annual","December","Moderate","Low"
168,168,"Annual","December","Moderate","Low"
169,169,"Annual","December","Moderate","Low"
170,170,"Annual","December","Moderate","Low"
171,171,"Annual","December","Moderate","Low"
172,172,"Annual","December","Moderate","Low"
173,173,"Annual","December","Moderate","Low"
174,174,"Annual","December","Moderate","Low"
175,175,"Annual","December","Moderate","Low"
176,176,"Annual","December","Moderate","Low"
177,177,"Annual","December","Moderate","Low"
178,178,"Annual","December","Moderate","Low"
179,179,"Annual","December","Moderate","Low"
180,180,"Annual","December","Moderate","Low"
181,181,"Annual","December","Moderate","Low"
182,182,"Annual","December","Moderate","Low"
183,183,"Annual","December","Moderate","Low"
184,184,"Annual","December","Moderate","Low"
185,185,"Annual","December","Moderate","Low"
186,186,"Annual","December","Moderate","Low"
187,187,"Annual","December","Moderate","Low"
188,188,"Annual","December","Moderate","Low"
189,189,"Annual","December","Moderate","Low"
190,190,"Annual","December","Moderate","Low"
191,191,"Annual","December","Moderate","Low"
192,192,"Annual","December","Moderate","Low"
193,193,"Annual","December","Moderate","Low"
194,194,"Annual","December","Moderate","Low"
195,195,"Annual","December","Moderate","Low"
196,196,"Annual","December","Moderate","Low"
197,197,"Annual","December","Moderate","Low"
198,198,"Annual","December","Moderate","Low"
199,199,"Annual","December","Moderate","Low"
200,200,"Annual","December","Moderate","Low"
201,201,"Annual","December","Moderate","Low"
202,202,"Annual","December","Moderate","Low"
203,203,"Annual","December","Moderate","Low"
204,204,"Annual","December","Moderate","Low"
205,205,"Annual","December","Moderate","Low"
206,206,"Annual","December","Moderate","Low"
207,207,"Annual","December","Moderate","Low"
208,208,"Annual","December","Moderate","Low"
209,209,"Annual","December","Moderate","Low"
210,210,"Annual","December","Moderate","Low"
211,211,"Annual","December","Moderate","Low"
212,212,"Annual","December","Moderate","Low"
213,213,"Annual","December","Moderate","Low"
214,214,"Annual","December","Moderate","Low"
215,215,"Annual","December","Moderate","Low"
216,216,"Annual","December","Moderate","Low"
217,217,"Annual","December","Moderate","Low"
218,218,"Annual","December","Moderate","Low"
219,219,"Annual","December","Moderate","Low"
220,220,"Annual","December","Moderate","Low"
221,221,"Annual","December","Moderate","Low"
222,222,"Annual","December","Moderate","Low"
223,223,"Annual","December","Moderate","Low"
224,224,"Annual","December","Moderate","Low"
225,225,"Annual","December","Moderate","Low"
226,226,"Annual","December","Moderate","Low"
227,227,"Annual","December","Moderate","Low"
228,228,"Annual","December","Moderate","Low"
229,229,"Annual","December","Moderate","Low"
230,230,"Annual","December","Moderate","Low"
231,231,"Annual","December","Moderate","Low"
232,232,"Annual","December","Moderate","Low"
233,233,"Annual","December","Moderate","Low"
234,234,"Annual","December","Moderate","Low"
235,235,"Annual","December","Moderate","Low"
236,236,"Annual","December","Moderate","Low"
237,237,"Annual","December","Moderate","Low"
238,238,"Annual","December","Moderate","Low"
239,239,"Annual","December","Moderate","Low"
240,240,"Annual","December","Moderate","Low"
241,241,"Annual","December","Moderate","Low"
242,242,"Annual","December","Moderate","Low"
243,243,"Annual","December","Moderate","Low"
244,244,"Annual","December","Moderate","Low"
245,245,"Annual","December","Moderate","Low"
246,246,"Annual","December","Moderate","Low"
247,247,"Annual","December","Moderate","Low"
248,248,"Annual","December","Moderate","Low"
249,249,"Annual","December","Moderate","Low"
