"id","commodity_id","ohlc_daily","ohlc_weekly","ohlc_monthly","volume","open_interest","liquidity","bid_ask_spread","volatility","price_cycle"
74,11,"{""open"" : 63.98209637281194, ""high"" : 31.163621275101097, ""low"" : 65.02809617638158, ""close"" : 48.69071095628017}","{""open"" : 33.59857901862677, ""high"" : 0.49904400909055013, ""low"" : 25.73122836260497, ""close"" : 79.2622771337784}","{""open"" : 15.897763496266638, ""high"" : 118.56442612154596, ""low"" : 40.86951299794458, ""close"" : 21.616394273783524}","99140","20276","56.2861006774566","3.57366566784411","8.1452865409633","Cyclical"
75,12,"{""open"" : 4.656725051701316, ""high"" : 83.54905672134396, ""low"" : 8.535771561549108, ""close"" : 70.53538517794556}","{""open"" : 4.313360509570119, ""high"" : 14.0048683239658, ""low"" : 13.494757578006489, ""close"" : 30.262220188065236}","{""open"" : 68.38639075226583, ""high"" : 106.22258699188524, ""low"" : 14.624817420127929, ""close"" : 96.90204476127391}","7835","75275","44.5813520698401","1.48091914992123","0.12861740446777","Cyclical"
76,13,"{""open"" : 70.32212000905017, ""high"" : 61.48477040313776, ""low"" : 46.00660633306043, ""close"" : 62.09618006552482}","{""open"" : 44.578336935744936, ""high"" : 91.33392221805533, ""low"" : 55.745100370103856, ""close"" : 80.56249036536374}","{""open"" : 9.488501017188455, ""high"" : 99.673933319438, ""low"" : 57.39207553537014, ""close"" : 17.45232457811463}","55683","82336","96.287937214616","4.77715130721713","4.04379191545845","Cyclical"
77,14,"{""open"" : 35.008727829964535, ""high"" : 61.940934565843406, ""low"" : 13.770949673669364, ""close"" : 25.691219322906257}","{""open"" : 16.588407324397124, ""high"" : 78.64723887334206, ""low"" : 39.01503321460506, ""close"" : 8.286894451385841}","{""open"" : 19.383662591105622, ""high"" : 13.78541933151288, ""low"" : 68.78670384517912, ""close"" : 40.34785938240877}","85822","15150","12.4984305948383","2.9885399211913","3.43589315325697","Cyclical"
78,15,"{""open"" : 16.957268947712613, ""high"" : 23.062278889802272, ""low"" : 16.441534030390645, ""close"" : 60.01483892569699}","{""open"" : 50.58849052982153, ""high"" : 78.21861618777814, ""low"" : 17.990289103632957, ""close"" : 79.23926151730933}","{""open"" : 76.65086912172225, ""high"" : 21.136494600245683, ""low"" : 52.875543623436045, ""close"" : 15.349019127134822}","74292","46002","74.3425650947314","3.40978538331656","1.32368071936041","Cyclical"
79,16,"{""open"" : 69.26480216490376, ""high"" : 50.95335280510328, ""low"" : 67.98590960641768, ""close"" : 27.104128710648112}","{""open"" : 49.25107951224508, ""high"" : 72.87257226488089, ""low"" : 2.1443236186367898, ""close"" : 35.98589673426113}","{""open"" : 47.347063112434725, ""high"" : 69.02229286427419, ""low"" : 1.2378322103051609, ""close"" : 5.248986433868907}","83902","36664","92.0778786197018","2.46785637165412","8.12178736982831","Cyclical"
80,17,"{""open"" : 65.00251823891281, ""high"" : 93.0306494101467, ""low"" : 10.137123681308875, ""close"" : 29.009494156079075}","{""open"" : 9.811401759818384, ""high"" : 58.95711584527515, ""low"" : 41.41752737863488, ""close"" : 39.47160312339872}","{""open"" : 71.72054890209294, ""high"" : 42.25466809237065, ""low"" : 72.04406656719644, ""close"" : 1.2406896885791774}","59938","1813","36.5752722062582","1.05991978810534","1.96271940494035","Cyclical"
81,18,"{""open"" : 45.596988832687835, ""high"" : 60.962697548757994, ""low"" : 77.3786003888125, ""close"" : 83.87502068735195}","{""open"" : 95.43300499295565, ""high"" : 54.80692729704398, ""low"" : 69.82764072977672, ""close"" : 36.213727400936094}","{""open"" : 63.14386255571576, ""high"" : 0.47005414121533917, ""low"" : 4.252381356308668, ""close"" : 91.3394399649355}","6081","41896","70.7889087412699","3.43935331161757","4.34533277449393","Cyclical"
82,19,"{""open"" : 46.443209993162185, ""high"" : 101.63342749051745, ""low"" : 0.5047116687154052, ""close"" : 51.44518528614517}","{""open"" : 93.98081849927698, ""high"" : 52.26903995050118, ""low"" : 47.605507089688004, ""close"" : 63.31840492334104}","{""open"" : 59.106303278228125, ""high"" : 95.8618925122368, ""low"" : 8.685841719197178, ""close"" : 76.88505331446018}","34026","79671","12.3944419862528","2.28863343112277","8.14618002182366","Cyclical"
83,20,"{""open"" : 50.30971918959673, ""high"" : 105.42430314288966, ""low"" : 32.97228680798831, ""close"" : 67.36582474734168}","{""open"" : 23.882324345159667, ""high"" : 68.05056742730872, ""low"" : 16.612080175723474, ""close"" : 75.97644723910398}","{""open"" : 8.747685726177167, ""high"" : 23.452291785337973, ""low"" : 1.4403780276046518, ""close"" : 52.775066571158845}","1719","98203","14.5816609139034","3.00327810563904","2.43384004185274","Cyclical"
84,21,"{""open"" : 13.019505274782173, ""high"" : 4.168939913681253, ""low"" : 23.442928134124195, ""close"" : 88.84129584794793}","{""open"" : 93.83258492884354, ""high"" : 104.3277800285375, ""low"" : 75.84667585833805, ""close"" : 35.715894140001666}","{""open"" : 47.41748219146382, ""high"" : 108.03355642872184, ""low"" : 73.01269240248371, ""close"" : 18.92700204341842}","33660","48701","38.8042411876661","0.188213131216379","0.331097689965563","Cyclical"
85,22,"{""open"" : 16.1734061888859, ""high"" : 114.94260002956895, ""low"" : 73.11140530730714, ""close"" : 83.18490801012844}","{""open"" : 45.850202084321154, ""high"" : 88.99864085151621, ""low"" : 47.5847729976214, ""close"" : 42.73827569610968}","{""open"" : 65.45511453249684, ""high"" : 87.97903124527205, ""low"" : 39.176272040493885, ""close"" : 45.949998423970406}","4047","54265","62.2877170464177","1.75476910843937","7.50875231531696","Cyclical"
86,23,"{""open"" : 53.19762465059994, ""high"" : 38.732470534943246, ""low"" : 25.2134287632723, ""close"" : 73.75560166324465}","{""open"" : 80.45092717958096, ""high"" : 79.39305430323239, ""low"" : 60.21053810266787, ""close"" : 11.075384284380508}","{""open"" : 28.534325992818953, ""high"" : 85.1720822949835, ""low"" : 26.73493598517158, ""close"" : 94.39510379631828}","42763","99411","8.72851023872918","2.98061174704834","9.63856942423353","Cyclical"
87,24,"{""open"" : 35.3572557569229, ""high"" : 108.87381254112714, ""low"" : 64.76235437304422, ""close"" : 61.99178706204365}","{""open"" : 3.540742644778705, ""high"" : 79.51366560278815, ""low"" : 4.434829883930735, ""close"" : 17.010555794180448}","{""open"" : 50.0586966010846, ""high"" : 87.82166158171304, ""low"" : 22.04875656955851, ""close"" : 34.992982014558116}","53969","1825","32.3972502727206","0.648220383752689","0.833092491502747","Cyclical"
88,25,"{""open"" : 79.96733675312105, ""high"" : 74.31046569134197, ""low"" : 67.22915126043775, ""close"" : 41.99715720180413}","{""open"" : 29.532623591318053, ""high"" : 19.126701098172035, ""low"" : 64.71911753127404, ""close"" : 84.79890325122798}","{""open"" : 73.53268279702294, ""high"" : 14.850064709245032, ""low"" : 56.22166266809778, ""close"" : 7.270718470128323}","31160","1772","41.0211387355432","3.69077497174253","5.02083487009152","Cyclical"
89,26,"{""open"" : 94.9963683631301, ""high"" : 108.39249812310396, ""low"" : 54.82778217396684, ""close"" : 33.206215928917906}","{""open"" : 16.111173427280523, ""high"" : 37.166955235991026, ""low"" : 46.408830216532166, ""close"" : 18.64100574168164}","{""open"" : 22.296189381113084, ""high"" : 27.315030951944923, ""low"" : 19.417488040324464, ""close"" : 27.666197888203925}","89980","66693","54.5859825361313","4.74040772999567","6.81117483523554","Cyclical"
90,27,"{""open"" : 58.83474810177465, ""high"" : 55.11582061822079, ""low"" : 65.04307835371509, ""close"" : 55.52004367477854}","{""open"" : 48.606844153287334, ""high"" : 99.31895787422852, ""low"" : 40.43365031162388, ""close"" : 59.19616136823611}","{""open"" : 63.81988784788825, ""high"" : 38.62796931665905, ""low"" : 40.304916409401685, ""close"" : 45.44346256133318}","16592","91608","82.325957370969","3.43262165059598","5.5090306591023","Cyclical"
91,28,"{""open"" : 60.4507783279925, ""high"" : 50.583155998726994, ""low"" : 18.967278841391124, ""close"" : 97.60617367179954}","{""open"" : 76.71573308003062, ""high"" : 28.141583760504176, ""low"" : 62.455971750616506, ""close"" : 17.838007302852144}","{""open"" : 51.04751591396406, ""high"" : 16.5030893431284, ""low"" : 12.471913581098235, ""close"" : 56.55177538009919}","12751","55010","51.4025651557336","4.63181700655522","6.66713907762938","Cyclical"
92,29,"{""open"" : 5.379013236919139, ""high"" : 97.47240338899424, ""low"" : 9.143056744477516, ""close"" : 38.44777919444513}","{""open"" : 4.129453567258801, ""high"" : 2.0078019419577586, ""low"" : 36.1207067163156, ""close"" : 53.455039792052304}","{""open"" : 39.437580264846936, ""high"" : 18.130729305137578, ""low"" : 38.46135700738485, ""close"" : 83.75797974207674}","87852","31898","27.8970825857321","1.72555504300724","0.247999051534877","Cyclical"
93,30,"{""open"" : 34.000425927790204, ""high"" : 82.78565228271462, ""low"" : 1.3310368853005627, ""close"" : 39.74562054734283}","{""open"" : 85.93305000641915, ""high"" : 117.95679512395247, ""low"" : 50.81802257561975, ""close"" : 30.234544125437424}","{""open"" : 95.3887868616356, ""high"" : 88.19804025533773, ""low"" : 61.240146776102584, ""close"" : 30.231882438017998}","83849","9809","83.2319274178662","1.74659617258","2.51665831795723","Cyclical"
94,31,"{""open"" : 51.60698241034645, ""high"" : 106.67675688524888, ""low"" : 69.8102606488928, ""close"" : 37.77386461736436}","{""open"" : 57.60300351101362, ""high"" : 50.12510826573547, ""low"" : 5.1218843303703565, ""close"" : 7.110976219394338}","{""open"" : 79.3311801564688, ""high"" : 31.876438286162756, ""low"" : 55.74551303766263, ""close"" : 55.804821766507274}","58358","77248","36.2445166056683","3.00439648671851","3.32484526692896","Cyclical"
95,32,"{""open"" : 33.91326562959658, ""high"" : 67.89810594483696, ""low"" : 78.6548360509822, ""close"" : 98.25222959097329}","{""open"" : 20.842536502726805, ""high"" : 31.94127395034018, ""low"" : 64.78492207109971, ""close"" : 37.44574156914216}","{""open"" : 32.57318972455181, ""high"" : 101.3337661751581, ""low"" : 70.31055896398762, ""close"" : 53.49669715503849}","33897","11682","11.5851242465473","0.16421706297074","1.59649543174969","Cyclical"
96,33,"{""open"" : 32.55550114838972, ""high"" : 61.986529980776844, ""low"" : 12.935632447612662, ""close"" : 56.91097160902849}","{""open"" : 20.251753596354007, ""high"" : 26.996234034923823, ""low"" : 74.9667556788578, ""close"" : 4.5707772919001854}","{""open"" : 67.35840123554095, ""high"" : 94.55073559295579, ""low"" : 43.852685042829634, ""close"" : 47.24538990372258}","45631","83152","9.85269567988107","0.207501978355383","2.38204273260743","Cyclical"
97,34,"{""open"" : 80.91189249788118, ""high"" : 112.25581567805547, ""low"" : 1.472888346138994, ""close"" : 84.72232645351983}","{""open"" : 78.18882634759123, ""high"" : 43.810465885222705, ""low"" : 27.450172299618405, ""close"" : 25.73628460651487}","{""open"" : 61.82406916046781, ""high"" : 21.017282582541856, ""low"" : 33.320772083436054, ""close"" : 56.301047499733706}","29228","26967","38.4323992804776","0.295362309432958","3.65082542575778","Cyclical"
98,35,"{""open"" : 93.18850685065512, ""high"" : 43.42996161094761, ""low"" : 2.6418143715812548, ""close"" : 6.766873240179305}","{""open"" : 25.416959322348333, ""high"" : 79.47770525230341, ""low"" : 46.73901982243082, ""close"" : 35.79184668851383}","{""open"" : 49.58118706486694, ""high"" : 89.15738928294012, ""low"" : 72.16098954677852, ""close"" : 94.49342393729887}","22700","75006","66.9222440287036","3.41999211079515","7.98704189459601","Cyclical"
99,36,"{""open"" : 37.186314804432996, ""high"" : 0.8004282367559146, ""low"" : 23.851852911750857, ""close"" : 60.11649393998617}","{""open"" : 96.49646997943813, ""high"" : 60.544227542584075, ""low"" : 72.29354395876035, ""close"" : 8.499125236121685}","{""open"" : 58.85647692619631, ""high"" : 111.10418155902035, ""low"" : 33.95236994180827, ""close"" : 10.856036439951833}","36870","51240","20.5418201207431","1.43905915972357","5.24654221653056","Cyclical"
100,37,"{""open"" : 11.909727442215544, ""high"" : 3.1946313945628546, ""low"" : 0.3844345452945497, ""close"" : 96.84157850249801}","{""open"" : 31.782963249501982, ""high"" : 51.975607387447425, ""low"" : 2.5387623365474, ""close"" : 15.857596993161671}","{""open"" : 90.28624015379812, ""high"" : 116.0274373344408, ""low"" : 69.87542482522692, ""close"" : 35.7245588389991}","65549","93429","18.374534786184","3.66329346310871","5.16206290471712","Cyclical"
101,38,"{""open"" : 70.14832441993804, ""high"" : 82.87838130120483, ""low"" : 65.00213879773432, ""close"" : 77.89033050426637}","{""open"" : 54.257217536773396, ""high"" : 98.11806106129514, ""low"" : 41.27457787999951, ""close"" : 44.282598635971816}","{""open"" : 22.512719646494016, ""high"" : 58.373960784416134, ""low"" : 5.057280294627926, ""close"" : 40.044882966803264}","19508","68988","31.716178591803","2.34509975861181","3.22816227496685","Cyclical"
102,39,"{""open"" : 61.239337842586664, ""high"" : 18.991509306480225, ""low"" : 12.315303334213858, ""close"" : 87.88397028654774}","{""open"" : 76.27840632648734, ""high"" : 9.208590367126677, ""low"" : 63.8624063904964, ""close"" : 29.72533642378865}","{""open"" : 24.002949481035717, ""high"" : 35.07556780951098, ""low"" : 53.50451206270941, ""close"" : 13.512793478563845}","42278","77554","51.6048432230239","3.82446633327447","5.20074480420547","Cyclical"
103,40,"{""open"" : 40.35207672213011, ""high"" : 79.19067349515629, ""low"" : 42.96501425174378, ""close"" : 51.79519580523439}","{""open"" : 67.44021692963247, ""high"" : 39.22542390590489, ""low"" : 12.504697220982077, ""close"" : 18.288463097712835}","{""open"" : 64.80926541747472, ""high"" : 23.509075475304275, ""low"" : 37.63095953947694, ""close"" : 47.077632537466066}","98729","62835","13.6650459325887","1.306844869864","9.10611313261083","Cyclical"
104,41,"{""open"" : 24.336814714562614, ""high"" : 47.82221617799574, ""low"" : 1.6302156757553732, ""close"" : 31.36557543072933}","{""open"" : 55.536574193725905, ""high"" : 88.82867705820237, ""low"" : 5.719857351313866, ""close"" : 38.35052430196111}","{""open"" : 0.7100502535852815, ""high"" : 67.29731761953258, ""low"" : 15.323228519960495, ""close"" : 5.824136516161338}","46123","34324","44.8691329525391","4.11653192994918","5.03550073238786","Cyclical"
105,42,"{""open"" : 49.780284615446476, ""high"" : 93.74522300306295, ""low"" : 63.600564249842805, ""close"" : 66.89280431331899}","{""open"" : 32.9343169499561, ""high"" : 17.782524955104346, ""low"" : 36.04588788024253, ""close"" : 62.59519973162986}","{""open"" : 98.33386478244275, ""high"" : 45.784887106103184, ""low"" : 5.963120557764032, ""close"" : 48.24715772914687}","32611","30214","59.6614915744051","1.56064982058707","8.20890898567867","Cyclical"
106,43,"{""open"" : 85.77369509425428, ""high"" : 71.78121477193572, ""low"" : 29.67453645299278, ""close"" : 8.475269084539704}","{""open"" : 76.85559386383392, ""high"" : 50.44918392950908, ""low"" : 60.433617865706296, ""close"" : 90.78683563620488}","{""open"" : 23.028947178476102, ""high"" : 49.064301120812715, ""low"" : 34.47532116842332, ""close"" : 92.95443354077868}","26327","5635","80.9303728350542","1.24865848139311","3.87728702389474","Cyclical"
107,44,"{""open"" : 70.49313793254821, ""high"" : 101.32641576036961, ""low"" : 22.851634144911355, ""close"" : 11.945303282093711}","{""open"" : 33.5467757167051, ""high"" : 3.9196312614908813, ""low"" : 13.797191380415512, ""close"" : 22.669248005351772}","{""open"" : 97.01886648059082, ""high"" : 82.87668658660206, ""low"" : 47.55923682473649, ""close"" : 83.24994472986886}","49747","52539","19.0958336775865","0.868315035183825","4.53018447377598","Cyclical"
108,45,"{""open"" : 37.856794930319815, ""high"" : 41.07486387072015, ""low"" : 20.510482256723908, ""close"" : 17.117468231016254}","{""open"" : 35.17362374116024, ""high"" : 47.8875305945699, ""low"" : 69.13133052314585, ""close"" : 95.86975987984903}","{""open"" : 30.757614203834848, ""high"" : 48.47712037267481, ""low"" : 57.310048375141704, ""close"" : 61.09324027594032}","64006","28062","25.9784708548175","3.87741674221622","4.62419537153655","Cyclical"
109,46,"{""open"" : 49.725888285238476, ""high"" : 88.09812219777695, ""low"" : 32.670870059184125, ""close"" : 8.988507727001082}","{""open"" : 78.73591157892919, ""high"" : 65.18469971450672, ""low"" : 49.14402594025256, ""close"" : 26.39831234965877}","{""open"" : 39.300888322943095, ""high"" : 8.201635981274267, ""low"" : 78.6997518890662, ""close"" : 76.44353554789569}","22827","37535","44.2884919309973","1.65309210507845","3.15882374052102","Cyclical"
110,47,"{""open"" : 16.50825256986872, ""high"" : 91.19408148252899, ""low"" : 46.76405028549912, ""close"" : 52.258349326908935}","{""open"" : 42.31460191481615, ""high"" : 111.82988442874928, ""low"" : 13.285842348154357, ""close"" : 8.820231794532575}","{""open"" : 30.04799269394731, ""high"" : 55.773839166337076, ""low"" : 5.096181533855368, ""close"" : 16.33861523976421}","20902","26020","82.0704034459052","4.62480138653038","4.56261338315666","Cyclical"
111,48,"{""open"" : 13.965885809775735, ""high"" : 83.42835607555361, ""low"" : 42.54179034488509, ""close"" : 17.274515908235433}","{""open"" : 26.297587239575183, ""high"" : 81.00957556738476, ""low"" : 28.80468975624659, ""close"" : 51.12539955416313}","{""open"" : 95.78591479609497, ""high"" : 110.28167167158735, ""low"" : 15.570822941483033, ""close"" : 23.62968204159237}","49949","84441","37.3189503688239","0.874507750451287","7.66344825891051","Cyclical"
112,49,"{""open"" : 36.360135050748646, ""high"" : 87.96460746179773, ""low"" : 21.979015812784457, ""close"" : 97.03918254072393}","{""open"" : 82.49203559582298, ""high"" : 37.21007791988171, ""low"" : 2.331734253731348, ""close"" : 29.582468543945307}","{""open"" : 81.72742783861644, ""high"" : 21.050106951144514, ""low"" : 26.004171727579823, ""close"" : 47.22187796975519}","28226","95117","43.6513178734804","3.90047562574572","3.82497230502989","Cyclical"
113,50,"{""open"" : 47.11411434128516, ""high"" : 113.23042878952432, ""low"" : 12.178507432746919, ""close"" : 22.09240862898463}","{""open"" : 30.650051023394596, ""high"" : 71.0037355667578, ""low"" : 24.797461162513432, ""close"" : 43.14507122839781}","{""open"" : 45.504245442223024, ""high"" : 105.86841935773239, ""low"" : 3.7271471027855085, ""close"" : 53.51599102803202}","36312","88618","78.7337688273092","0.421994421399396","6.98560307962219","Cyclical"
114,51,"{""open"" : 19.023425291644692, ""high"" : 25.77069464669475, ""low"" : 13.966523854609374, ""close"" : 27.9931006871349}","{""open"" : 5.485026344385413, ""high"" : 54.85775653368094, ""low"" : 77.90910081505429, ""close"" : 34.90323275596457}","{""open"" : 81.69650569119426, ""high"" : 32.37880882307083, ""low"" : 5.230766678930596, ""close"" : 90.0866340258422}","95260","51863","46.8641295667087","3.14912453375612","8.81163425180727","Cyclical"
115,52,"{""open"" : 66.39785904115672, ""high"" : 25.923288184492286, ""low"" : 55.05650732231295, ""close"" : 95.83093926664137}","{""open"" : 19.161154916752345, ""high"" : 58.62761773401094, ""low"" : 37.7762327545425, ""close"" : 98.89230889262859}","{""open"" : 2.119978732156702, ""high"" : 99.50456773068501, ""low"" : 56.985227591969206, ""close"" : 6.001526906791055}","4990","92066","93.0361682275949","1.43983265162642","4.05454236745136","Cyclical"
116,53,"{""open"" : 78.42770075968409, ""high"" : 74.24516056818793, ""low"" : 45.672402867607964, ""close"" : 6.573979539182129}","{""open"" : 28.81424864702049, ""high"" : 0.0075579591611862895, ""low"" : 14.747531385937318, ""close"" : 35.724102488152035}","{""open"" : 72.67852297415851, ""high"" : 81.73084594369234, ""low"" : 53.61497275154102, ""close"" : 21.19297669804594}","44126","81547","17.618136790565","0.0381595109090571","6.4525554034996","Cyclical"
117,54,"{""open"" : 79.53915572431573, ""high"" : 9.60172522727806, ""low"" : 66.65226493273694, ""close"" : 58.51635641094295}","{""open"" : 52.596990843534996, ""high"" : 0.3534023566005917, ""low"" : 21.678469849834023, ""close"" : 58.029327565827195}","{""open"" : 57.764696676713086, ""high"" : 60.17552299828015, ""low"" : 17.68179265807044, ""close"" : 11.815580516134162}","35454","94270","5.47538578313085","3.17127702798495","2.05223065379041","Cyclical"
118,55,"{""open"" : 78.06633747932426, ""high"" : 117.29072039400641, ""low"" : 27.269958186475716, ""close"" : 8.671525427120086}","{""open"" : 75.02704966142207, ""high"" : 30.790761204842845, ""low"" : 14.8661591737185, ""close"" : 32.300047771758145}","{""open"" : 20.379107719862844, ""high"" : 32.704562400747164, ""low"" : 23.450521810937897, ""close"" : 4.103544551197036}","71198","60520","66.3173267776773","0.479773017047485","2.79950587973861","Cyclical"
119,56,"{""open"" : 34.01787381070005, ""high"" : 106.50177822254693, ""low"" : 23.012058395733597, ""close"" : 91.355465875277}","{""open"" : 59.28922717629177, ""high"" : 32.22606905170505, ""low"" : 18.18587605296779, ""close"" : 48.22656704066046}","{""open"" : 98.44403243501785, ""high"" : 69.95130340871478, ""low"" : 52.49315206784928, ""close"" : 41.44853635302823}","62426","31571","54.3302644717935","4.077814214506","5.72760902041469","Cyclical"
120,57,"{""open"" : 33.02614799659507, ""high"" : 51.452139656312575, ""low"" : 52.187117745477956, ""close"" : 25.977046824899098}","{""open"" : 21.90621755126063, ""high"" : 65.275577562519, ""low"" : 7.929282434310636, ""close"" : 90.94821494042169}","{""open"" : 82.03034372768492, ""high"" : 106.26786156874876, ""low"" : 10.850134232411737, ""close"" : 4.2336393743423795}","12808","45597","19.7339531428292","4.35210007794209","7.46023354279312","Cyclical"
121,58,"{""open"" : 71.67784706227832, ""high"" : 105.71114945633373, ""low"" : 30.94806719944609, ""close"" : 92.73280362578306}","{""open"" : 78.65352661759476, ""high"" : 96.61321171609151, ""low"" : 6.387719628091144, ""close"" : 65.67122314553819}","{""open"" : 97.59526900757389, ""high"" : 33.69346108359912, ""low"" : 79.32399389200548, ""close"" : 38.34178079749317}","52499","89682","5.08316829488837","4.97216294894405","2.47501097455507","Cyclical"
122,59,"{""open"" : 72.83812691926627, ""high"" : 99.87150970303128, ""low"" : 38.449929930106244, ""close"" : 8.381500064548387}","{""open"" : 98.26379052198449, ""high"" : 93.18388689191283, ""low"" : 51.456839226515484, ""close"" : 14.635373890989989}","{""open"" : 84.60642067071342, ""high"" : 61.768161799256674, ""low"" : 10.865250512068894, ""close"" : 77.42492177655387}","20825","76570","32.2107942234426","4.75095849612495","7.35840417320361","Cyclical"
123,60,"{""open"" : 92.40876725791874, ""high"" : 116.65521909760368, ""low"" : 47.40096693400568, ""close"" : 66.72005666767468}","{""open"" : 74.86724521874932, ""high"" : 108.17655291414854, ""low"" : 53.22498587427276, ""close"" : 88.88752966016827}","{""open"" : 16.641889990014835, ""high"" : 36.17230820823391, ""low"" : 1.6128091109997733, ""close"" : 8.899492884346882}","94204","99923","46.4954853344076","3.05151557345219","3.34480905008125","Cyclical"
124,61,"{""open"" : 32.54570260346268, ""high"" : 2.113604208012516, ""low"" : 10.581193350938332, ""close"" : 34.73645449146056}","{""open"" : 81.2242628879437, ""high"" : 12.706505144379152, ""low"" : 50.805842733037174, ""close"" : 55.806606035009395}","{""open"" : 88.59169529027433, ""high"" : 114.10017756844069, ""low"" : 10.506246628347835, ""close"" : 25.79197012495047}","59479","39162","60.3778654615288","4.68280639930116","3.07022565934903","Cyclical"
